frame,x_nm,y_nm
1,8933.29,24407.13
2,9243.28,24340.16
3,9286.92,24377.15
4,9552.10,24336.33
5,9436.62,24511.41
6,9610.10,24439.40
7,9617.46,24470.45
8,9805.68,24489.06
9,9723.74,24532.63
10,9872.17,24401.47
11,9960.17,24321.90
12,10037.69,24205.68
13,10006.62,24321.69
14,10201.81,24508.68
15,10007.63,24374.59
16,10082.69,24529.51
17,10269.17,24546.47
18,10362.99,24576.87
19,10383.83,24620.46
20,10335.83,24698.45
21,10557.27,24520.39
22,10730.44,24573.98
23,10619.77,24621.91
24,10691.05,24819.80
25,10756.57,24835.05
26,10812.60,24819.31
27,10820.65,24957.33
28,10973.80,24970.49
29,10809.87,25043.54
30,10932.92,25180.64
