frame,x_nm,y_nm
1,9406.95,24516.01
2,9603.91,24984.47
3,9695.14,24605.80
4,9613.58,24482.24
5,9828.54,24847.89
6,9827.18,24590.81
7,9777.85,24636.05
8,9922.92,24787.49
9,9972.51,24701.81
10,9994.77,24591.32
11,10098.39,24465.05
12,10124.09,24499.63
13,10064.33,24478.95
14,10244.42,24517.70
15,10324.07,24475.42
16,10443.89,24550.64
17,10464.36,24484.30
18,10536.03,24482.42
19,10702.66,24422.28
20,10748.91,24491.34
21,10767.75,24520.76
22,10758.74,24554.94
23,10786.11,24418.33
24,11067.97,24474.07
25,11095.26,24458.79
26,11216.36,24509.37
27,11135.22,24636.42
28,11117.40,24589.59
29,11213.33,24504.75
30,11345.94,24705.69
