frame,x_nm,y_nm
2,5998.59,14213.13
4,5816.51,13908.26
5,6078.98,13737.53
6,6028.83,13630.41
7,6098.22,13869.40
8,6015.73,13997.38
9,6275.23,13944.95
10,6408.91,14049.80
11,6571.10,14438.07
12,6758.41,14296.64
13,6727.83,14342.51
14,6758.41,14923.55
15,6752.29,14911.31
16,6765.06,15364.98
17,7012.15,14728.49
18,7185.32,14737.61
19,7011.80,14895.15
20,7263.00,15003.82
21,7147.23,15286.15
22,7361.04,15445.22
23,7285.08,15541.96
24,7549.92,15164.60
25,7661.94,14979.15
26,7823.19,15101.47
27,7787.97,15093.44
28,7795.69,15016.12
29,8002.82,14664.78
30,8181.33,14624.93
