frame,x_nm,y_nm
1,18604.07,8911.67
2,18477.74,9242.27
3,18463.30,9344.69
4,18132.95,9454.37
5,18212.84,9555.96
6,18369.40,9506.66
7,18250.76,9712.54
8,18480.26,9541.28
9,18324.48,9618.54
10,18565.91,9666.83
11,18619.27,9793.58
12,18729.36,9917.43
13,18572.48,9926.61
14,18805.39,9994.14
15,19031.95,10136.03
16,18783.55,9935.44
17,19016.51,9959.63
18,19021.41,10342.51
19,18876.15,10118.50
20,18715.60,10422.82
21,19416.18,10369.75
22,19298.99,10279.93
23,19443.43,10501.53
24,19660.21,10499.49
25,19021.41,10697.25
26,19141.28,10847.71
27,19153.92,10261.64
28,19528.18,10393.18
29,19503.32,10142.36
30,19528.77,10266.89
