frame,x_nm,y_nm
1,6054.79,12983.59
2,6046.29,13107.66
3,5931.23,13201.82
4,5995.30,13211.82
5,6055.43,13292.05
6,6216.41,13292.54
7,6099.44,13392.07
8,6111.24,13583.04
9,6271.20,13703.03
10,6485.90,13673.42
11,6660.55,13752.66
12,6564.18,13760.52
13,6680.53,13666.26
14,6853.36,13810.00
15,6957.32,13902.60
16,7273.61,14085.10
17,7161.93,14106.64
18,7353.27,14262.03
19,7328.14,14435.05
20,7259.52,14534.08
21,7488.29,14553.82
22,7364.58,14455.82
23,7549.76,14464.83
24,7491.82,14693.01
25,7773.43,14589.34
26,7801.31,14500.17
27,7836.58,14651.53
28,7851.23,14703.36
29,7900.82,14600.58
30,7942.48,14712.48
