frame,x_nm,y_nm
4,27357.03,14620.04
5,27422.79,15065.51
6,27414.35,15353.27
7,27472.49,15600.30
8,27380.07,15832.83
9,27333.05,15937.77
10,27536.71,16272.40
11,27496.13,16201.69
12,27512.58,16354.30
13,27552.80,16498.58
14,27505.57,16742.79
15,27696.50,17065.92
16,27747.50,17175.07
17,27815.06,17186.33
18,28079.16,17127.79
19,28074.59,17208.83
20,28115.31,17443.67
21,28298.98,17547.85
22,28393.15,17622.22
23,28480.01,17653.06
24,28468.36,17760.84
25,28496.17,17900.94
26,28613.81,17934.11
27,28593.01,17929.09
28,28538.33,17944.02
29,28536.44,18044.46
30,28613.03,18063.65
