frame,x_nm,y_nm
1,22001.97,9739.37
2,21757.18,9363.43
3,21945.46,9169.32
4,21722.82,9218.15
5,21547.96,9582.00
6,21402.42,9897.59
7,21257.58,10114.31
8,21347.70,10070.67
9,21181.17,10464.77
10,21130.63,10646.32
11,20966.42,10816.66
12,20932.44,10439.44
13,21065.01,10769.04
14,20958.77,10947.28
15,20754.41,10934.47
16,21104.53,10855.34
17,21098.84,11286.16
18,21206.46,11216.33
19,20742.70,11630.48
20,20713.89,11740.69
21,20764.19,11636.69
22,20727.30,11796.86
23,20861.14,11490.02
24,20849.80,11817.33
25,20720.01,12198.27
27,20636.53,12437.50
