frame,x_nm,y_nm
1,7410.46,3961.11
2,7123.45,4101.47
3,7410.91,3917.66
4,7517.11,3908.81
5,7503.20,4079.47
6,7811.87,4054.20
7,7707.44,4115.80
8,7364.37,4228.46
9,7309.61,4036.10
10,7464.75,4067.16
11,7522.94,3853.21
12,7778.81,4070.67
13,7821.12,4174.09
14,7522.94,4220.18
15,7401.72,3792.37
16,7522.94,4036.70
17,7339.45,4403.67
18,7706.42,4036.70
19,7706.42,3853.21
20,8623.85,4220.18
21,7155.96,4587.16
22,7522.94,3486.24
23,7522.94,4403.67
24,7522.94,4036.70
25,7706.42,3853.21
26,7706.42,4036.70
27,7522.94,4036.70
28,7706.42,3853.21
29,7522.94,4220.18
30,6972.48,4220.18
