frame,x_nm,y_nm
1,2226.99,7020.73
2,2390.20,7041.72
3,2378.68,7174.74
4,2585.72,7592.93
5,2536.18,7538.53
6,2464.01,7338.36
7,2369.94,7425.84
8,2647.59,7157.29
9,2626.31,7406.30
10,2738.15,7674.72
11,3272.29,7329.57
12,2924.00,7494.84
13,2985.11,7449.02
14,2825.18,7286.56
16,2969.30,7537.56
17,3158.03,7645.30
18,2963.42,7486.48
19,3492.49,7456.31
20,3296.09,7217.36
21,3317.10,6848.58
22,3610.27,7395.05
23,3678.19,7195.07
24,3631.76,7480.61
25,3845.63,7281.64
26,3642.10,7133.38
27,3773.64,7645.48
28,3889.68,7858.05
29,4142.97,7684.50
30,3648.50,7394.82
